COMPANY,SLOGAN,URL,GICS_Sector,SectorId,GICS_SubIndustry,WORDS,
Coca-Cola,Life tastes good.,Coca-Cola,Consumer Staples,2,,,
Coca-Cola,Make It Real.,Coca-Cola,Consumer Staples,2,,,
Coca-Cola,Open Happiness.,Coca-Cola,Consumer Staples,2,,,
Coca-Cola,Real.,Coca-Cola,Consumer Staples,2,,,
Coca-Cola,The Coke Side of Life.,Coca-Cola,Consumer Staples,2,,,
Coca-Cola,The pause that refreshes.,Coca-Cola,Consumer Staples,2,,,
Coca-Cola,The Real Thing,Coca-Cola,Consumer Staples,2,,,
Coca-Cola Enterprises,Things go better with Coke.,Coca-Cola,Consumer Staples,2, ,5,
Cognizant Technology Solutions,Keep Challenging,Cognizant Technology Solutions,Information Technology,7,IT Consulting & Other Services,2,
Colgate-Palmolive,“World of Care”,Colgate-Palmolive,Consumer Staples,2,Household Products,3,
Columbia Pipeline Group Inc,"Significant Scale, Unparalleled Footprint",Columbia Pipeline Group Inc,Information Technology,7,,4,
Comcast A Corp,Ready to work.,Comcast Corp.,Consumer Discretionary,1,Cable & Satellite,3,
Comerica Inc.,Committed to Business,Comerica Inc.,Financials,4,Diversified Banks,3,
ConAgra Foods Inc.,ConAgra. The right kind of food company,Conagra Brands,Consumer Staples,2,Packaged Foods & Meats,7,
Concho Resources,Great Place To Work,Concho Resources,Energy,3,Oil & Gas Exploration & Production,4,
ConocoPhillips,Energy for tomorrow.,ConocoPhillips,Energy,3,Oil & Gas Exploration & Production,3,
Consolidated Edison,"Energy, efficiency, expertise",Consolidated Edison,Utilities,11,Electric Utilities,3,
Constellation Brands,Tastes for life,Constellation Brands,Consumer Staples,2,Distillers & Vintners,3,
Corning Inc.,Discovering Beyond Imagination,Corning Inc.,Information Technology,7,Electronic Components,3,
Corona,Every bubble's passed its fizzical.,Corona,Consumer Staples,2,Packaged Foods & Meats,,
Costco Co.,Simplifying home and life,Costco Wholesale Corp.,Consumer Staples,2,Hypermarkets & Super Centers,4,
Council for Cable Information,"Cable. It's not just more choice, it's your choice.",Council for Cable Information,Consumer Discretionary,1,Cable & Satellite,,
Count Chocula,I vant to eat your cereal!,Count Chocula,Consumer Staples,2,,,
Cow's milk (for the California Milk Processor Board),Got Milk?,Cow's milk (for the California Milk Processor Board),Consumer Staples,2,,,
Cremo cigars by American Tobacco,There is no spit in Cremo!,Cremo cigars by American Tobacco,Consumer Staples,2,food beverage and tobacco,,
Crown Castle International Corp.,Providing Wireless Infrastructure in Prime Locations,Crown Castle International Corp.,Real Estate,9,Specialized REITs,6,
CSRA Inc.,Enduring Values. Inspired Performance.,CSRA Inc.,Energy,3,,4,
CSX Corp.,How tomorrow moves.,CSX Corp.,Industrials,5,Railroads,3,
Cummins Inc.,Making people’s lives better by unleashing the power of Cummins.,Cummins Inc.,Industrials,5,Industrial Machinery,10,
CVS Caremark Corp.,Health is everything,CVS Health,Health Care,6,Drug Retail,3,
D. R. Horton,America’s Builder,D. R. Horton,Consumer Discretionary,1,Homebuilding,2,
Danaher Corp.,Invent.,Danaher Corp.,Health Care,6,Health Care Equipment,1,
Darden Restaurants,To nourish and delight everyone we serve,Darden Restaurants,Consumer Discretionary,1,Restaurants,7,
DaVita Inc.,Bringing quality to life,DaVita Inc.,Health Care,6,Health Care Facilities,4,
DeBeers,A diamond is forever.,DeBeers,Consumer Staples,2,,,
Deere & Co.,Nothing runs like a Deere.,Deere & Co.,Industrials,5,Agricultural & Farm Machinery,5,
Dell Computer,Easy as Dell,,Information Technology,7,,,
Delphi Automotive,Partner of Choice.,Delphi Automotive,Industrials,5,,3,
Delta Air Lines,Keep Climbing.,Delta Air Lines Inc.,Industrials,5,Airlines,2,
Dentsply Sirona,For better dentistry.,Dentsply Sirona,Health Care,6,Health Care Supplies,3,
Devon Energy Corp.,Commitment runs deep.,Devon Energy Corp.,Energy,3,Oil & Gas Exploration & Production,3,
DHL,We keep your promises.,DHL,Consumer Discretionary,1,,,
Diamond Offshore Drilling,Hooked On Safety,Diamond Offshore Drilling,Health Care,6,,3,
Discover Financial Services,There’s always something more to Discover,Discover Financial Services,Financials,4,Consumer Finance,6,
Discovery Communications-A,"Let’s All Discover, Why No Myth Is Safe",Discovery Inc. Class A,Consumer Discretionary,1,Cable & Satellite,8,
Discovery Communications-C,"Let’s All Discover, Why No Myth Is Safe",Discovery Inc. Class C,Consumer Discretionary,1,Cable & Satellite,8,
Dollar General,"Save Time, Save Money, Everyday.",Dollar General,Consumer Discretionary,1,General Merchandise Stores,5,
Dollar Tree,Everything’s $1,Dollar Tree,Consumer Discretionary,1,General Merchandise Stores,2,
Dominion Resources,What we do everyday Powers you everyday,Dominion Energy,Utilities,11,Electric Utilities,7,
