COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,
Fiserv Inc,Source. Capture. Optimization.,45,Fiserv Inc,Information Technology,Internet Software & Services,3,
FLIR Systems,The world’s sixth sense.,45,FLIR Systems,Information Technology,Electronic Equipment & Instruments,4,
Flowserve Corporation,Experience in motion.,20,Flowserve Corporation,Industrials,Industrial Machinery,3,
Fluor Corp.,How the world is built.,20,Fluor Corp.,Industrials,Construction & Engineering,5,
FMC Corporation,We put you first. And keep you ahead.,20,FMC Corporation,Industrials,Fertilizers & Agricultural Chemicals,8,
Folgers,The best part of waking up is Folgers in your cup!,30,Folgers,Consumer Staples,,,
Ford Mondeo, Redefined Aggression,25,,Consumer Discretionary,,,
Ford Motor,Built for the road ahead.,25,Ford Motor,Consumer Discretionary,Automobile Manufacturers,5,
Franklin Resources,Gain from our perspective,40,Franklin Resources,Financials,Asset Management & Custody Banks,4,
Freeport-McMoran Cp & Gld,Connecting the Future,15,Freeport-McMoRan Inc.,Materials,Copper,3,
Frontier Communications,“Welcome to the New Frontier.”,50,Frontier Communications,Telecommunication Services,,5,
GAIL , Gas and Beyond,55,,Utilities,,,
GameStop Corp.,Power to the Players,25,GameStop Corp.,Consumer Discretionary,,4,
Gap (The),“For every generation there’s a Gap.”,25,Gap Inc.,Consumer Discretionary,Apparel Retail,6,
Garmin Ltd.,We’ll Take You There,25,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,4,
GEICO,So easy a caveman can do it.,40,GEICO,Financials,Property & Casualty Insurance,,
General Dynamics,Strength on your side,20,General Dynamics,Industrials,Aerospace & Defense,4,
General Electric,We bring good things to life.,20,General Electric,Industrials,Industrial Conglomerates,6,
